date,open,high,low,close,volume,symbol
2025-12-09,1772.03,1772.03,1724.66,1747.17,895026400.0,VNINDEX
2025-12-08,1757.42,1758.41,1746.03,1753.74,609252600.0,VNINDEX
2025-12-05,1748.17,1758.44,1728.14,1741.32,629082200.0,VNINDEX
2025-12-04,1735.41,1741.71,1725.23,1737.24,761518300.0,VNINDEX
2025-12-10,1748.82,1748.82,1713.64,1718.98,647038643.0,VNINDEX
,,,,,,
2025-12-03,1725.9,1741.65,1714.9,1731.77,720008400.0,VNINDEX
2025-12-02,1704.84,1719.03,1690.36,1717.06,660685300.0,VNINDEX
2025-12-01,1698.98,1713.77,1697.38,1701.67,519292900.0,VNINDEX
2025-11-28,1683.77,1696.14,1679.12,1690.99,632463700.0,VNINDEX
2025-11-27,1686.03,1695.34,1681.08,1684.32,597890600.0,VNINDEX
2025-11-26,1667.31,1682.17,1663.99,1680.36,681733800.0,VNINDEX
2025-11-25,1670.08,1660.36,1655.73,1660.36,777426300.0,VNINDEX
2025-11-24,1656.19,1674.29,1656.01,1667.98,521662500.0,VNINDEX
2025-11-21,1646.36,1656.84,1635.1,1654.93,665568300.0,VNINDEX
2025-11-20,1652.05,1660.55,1647.79,1655.99,592002300.0,VNINDEX
2025-11-19,1659.25,1661.51,1643.04,1649.0,741564100.0,VNINDEX
2025-11-18,1657.43,1660.41,1647.64,1659.92,705675600.0,VNINDEX
2025-11-17,1640.47,1654.68,1640.47,1654.42,660673300.0,VNINDEX
2025-11-14,1627.45,1638.35,1623.03,1635.46,649408200.0,VNINDEX
2025-11-13,1632.64,1638.98,1625.94,1631.44,629417200.0,VNINDEX
2025-11-12,1597.73,1631.86,1596.43,1631.86,681711200.0,VNINDEX
2025-11-11,1585.32,1597.08,1578.42,1593.61,595525700.0,VNINDEX
2025-11-10,1598.02,1609.49,1580.54,1580.54,655736900.0,VNINDEX
2025-11-07,1636.24,1638.59,1595.34,1599.1,817661500.0,VNINDEX
2025-11-06,1656.67,1658.69,1638.12,1642.64,549667600.0,VNINDEX
2025-11-05,1647.46,1659.58,1640.51,1654.89,614280500.0,VNINDEX
2025-11-04,1618.02,1658.93,1600.56,1651.98,1130742400.0,VNINDEX
2025-11-03,1644.56,1652.48,1617.0,1617.0,964302800.0,VNINDEX
2025-10-31,1669.61,1669.61,1626.86,1639.65,777188600.0,VNINDEX
2025-10-30,1688.83,1690.69,1661.48,1669.57,762462900.0,VNINDEX
2025-10-29,1685.9,1695.99,1672.0,1685.83,822913000.0,VNINDEX
2025-10-28,1647.73,1680.5,1621.52,1680.5,876121500.0,VNINDEX
2025-10-27,1696.45,1697.16,1652.54,1652.54,902697800.0,VNINDEX
2025-10-24,1684.88,1691.69,1660.32,1683.18,915573500.0,VNINDEX
2025-10-23,1680.73,1698.01,1669.78,1687.06,698675200.0,VNINDEX
2025-10-22,1678.82,1678.82,1628.37,1678.5,909829300.0,VNINDEX
2025-10-21,1640.8,1677.11,1622.37,1663.43,1543512300.0,VNINDEX
2025-10-20,1723.59,1727.11,1636.43,1636.43,1634751100.0,VNINDEX
2025-10-17,1773.17,1773.17,1725.1,1731.19,1220064400.0,VNINDEX
2025-10-16,1764.51,1768.51,1753.5,1766.85,1086412300.0,VNINDEX
2025-10-15,1766.12,1773.73,1754.89,1757.95,1106642900.0,VNINDEX
2025-10-14,1782.97,1794.58,1753.25,1761.06,1489829500.0,VNINDEX
2025-10-13,1738.23,1766.77,1736.03,1765.12,1230255900.0,VNINDEX
2025-10-10,1725.27,1747.61,1721.76,1747.55,997548900.0,VNINDEX
2025-10-09,1702.76,1717.65,1699.17,1716.47,1042461100.0,VNINDEX
2025-10-08,1701.06,1704.42,1680.87,1697.83,1015807200.0,VNINDEX
2025-10-07,1703.9,1703.9,1685.3,1685.3,798268000.0,VNINDEX
2025-10-06,1673.16,1695.5,1664.17,1695.5,1004353300.0,VNINDEX
2025-10-03,1652.39,1654.6,1638.6,1645.82,814035900.0,VNINDEX
2025-10-02,1668.04,1679.73,1646.82,1652.71,735169100.0,VNINDEX
2025-10-01,1664.95,1671.07,1658.81,1665.05,665999631.0,VNINDEX
2025-09-30,1667.86,1676.8,1645.97,1661.7,1048023100.0,VNINDEX
2025-09-29,1659.33,1674.84,1655.03,1666.48,808013800.0,VNINDEX
2025-09-26,1666.68,1671.43,1657.94,1660.7,898582900.0,VNINDEX
2025-09-25,1661.08,1668.21,1654.47,1666.09,914166300.0,VNINDEX
2025-09-24,1635.36,1657.46,1619.09,1657.46,941711600.0,VNINDEX
2025-09-23,1635.12,1643.59,1627.58,1635.26,656581700.0,VNINDEX
2025-09-22,1656.66,1659.13,1616.02,1634.45,1138116600.0,VNINDEX
2025-09-19,1671.24,1671.77,1641.19,1658.62,863406000.0,VNINDEX
2025-09-18,1675.85,1679.63,1654.32,1665.18,862910500.0,VNINDEX
2025-09-17,1678.26,1684.62,1670.97,1670.97,966202500.0,VNINDEX
2025-09-16,1696.87,1696.87,1677.03,1680.9,1231633000.0,VNINDEX
2025-09-15,1672.59,1684.9,1668.09,1684.9,1121401900.0,VNINDEX
2025-09-12,1662.02,1670.62,1653.79,1667.26,1005649800.0,VNINDEX
2025-09-11,1638.75,1659.19,1605.76,1657.75,1196354700.0,VNINDEX
2025-09-10,1646.41,1646.49,1629.29,1643.26,832485600.0,VNINDEX
2025-09-09,1629.58,1637.39,1613.01,1637.32,1011989000.0,VNINDEX
2025-09-08,1660.91,1667.36,1624.53,1624.53,1768694200.0,VNINDEX
2025-09-05,1705.13,1711.49,1666.97,1666.97,1650029500.0,VNINDEX
